Month,WeekOfMonth,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,NumberOfSuppliments,NumberOfCars,BasePolicy,FraudFound
Sep,2,Toyota,Rural,Sep,2,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Sep,1,Toyota,Urban,Sep,2,Male,Married,57,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Sep,3,Chevrolet,Urban,Sep,4,Female,Married,57,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Sep,4,Mazda,Urban,Sep,4,Female,Single,57,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,Liability,No
Feb,4,Toyota,Rural,Mar,1,Male,Married,58,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,2 vehicles,Liability,No
Nov,4,Chevrolet,Urban,Nov,4,Male,Single,58,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,51 to 65,No,1 to 2,2 vehicles,Collision,No
Aug,1,Chevrolet,Urban,Aug,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,none,2 vehicles,Liability,No
Dec,1,Dodge,Urban,Dec,2,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,more than 5,2 vehicles,Liability,No
Jun,1,Ford,Urban,Jun,1,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"40,000 to 59,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,none,2 vehicles,All Perils,No
Jun,2,Pontiac,Urban,Jun,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,2 vehicles,Collision,No
Jul,2,Toyota,Urban,Jul,2,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,more than 5,2 vehicles,Liability,No
Apr,3,Toyota,Urban,Apr,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Apr,5,Pontiac,Urban,May,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,51 to 65,No,1 to 2,1 vehicle,Collision,Yes
Aug,4,Pontiac,Urban,Aug,4,Male,Married,58,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
Aug,5,Toyota,Urban,Aug,5,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Aug,1,Honda,Urban,Sep,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
Aug,1,Pontiac,Urban,Aug,4,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Dec,5,Pontiac,Urban,Jan,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Dec,3,Mazda,Urban,Dec,4,Male,Married,58,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,51 to 65,No,none,1 vehicle,Collision,No
Feb,2,Pontiac,Urban,Feb,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Feb,4,Pontiac,Urban,Feb,5,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,1 to 2,1 vehicle,Liability,No
Jan,1,Pontiac,Urban,Jan,1,Male,Married,58,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,1 to 2,1 vehicle,Collision,No
Jan,4,Toyota,Urban,Feb,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Jan,2,Pontiac,Urban,Jan,2,Male,Married,58,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Jun,4,Honda,Urban,Jun,5,Female,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,7 years,51 to 65,No,none,1 vehicle,Liability,No
Jun,3,Accura,Urban,Jun,3,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,more than 4,7 years,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Jun,4,Toyota,Urban,Jun,4,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,All Perils,No
Mar,3,Pontiac,Urban,Mar,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,3 to 5,1 vehicle,Liability,No
May,1,Ford,Urban,May,4,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,All Perils,Yes
May,3,Pontiac,Urban,May,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,Collision,No
May,3,Pontiac,Urban,May,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,7 years,51 to 65,No,none,1 vehicle,Liability,No
May,4,Chevrolet,Urban,May,4,Male,Single,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Nov,3,Honda,Urban,Nov,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,1 to 2,1 vehicle,Collision,No
Nov,1,Honda,Urban,Nov,1,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Oct,1,Pontiac,Urban,Oct,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Oct,4,Toyota,Urban,Oct,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Oct,5,Pontiac,Rural,Jan,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Sep,1,Ford,Urban,Sep,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,2 to 4,6 years,51 to 65,No,3 to 5,1 vehicle,Liability,No
Sep,3,Chevrolet,Rural,Sep,3,Male,Married,58,Third Party,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Sep,4,Mazda,Urban,Sep,4,Female,Single,58,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,1,7 years,51 to 65,No,none,1 vehicle,Collision,No
Apr,1,Toyota,Urban,Apr,1,Male,Divorced,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,6 years,51 to 65,No,more than 5,1 vehicle,Liability,No
Apr,4,Honda,Urban,Apr,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,Liability,No
Apr,2,Toyota,Urban,Apr,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,1 to 2,1 vehicle,Collision,No
Aug,2,Mazda,Urban,Aug,3,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Aug,4,Pontiac,Urban,Oct,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Aug,1,Toyota,Rural,Oct,1,Male,Married,58,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,3 to 5,1 vehicle,Liability,No
Aug,2,Honda,Urban,Aug,2,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Dec,3,Pontiac,Urban,Dec,3,Male,Married,58,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,51 to 65,Yes,more than 5,1 vehicle,Collision,No
Dec,5,Toyota,Urban,Jan,1,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Dec,3,Honda,Urban,Dec,3,Male,Married,58,Third Party,Sport - Collision,Sport,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Dec,1,Toyota,Urban,Dec,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,1,more than 7,51 to 65,No,1 to 2,3 to 4,Collision,No
Dec,2,Pontiac,Urban,Dec,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Feb,4,Honda,Urban,Feb,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"less than 20,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,1 to 2,1 vehicle,Liability,No
Feb,4,Ford,Urban,Feb,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"60,000 to 69,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Feb,2,Honda,Urban,Feb,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,All Perils,No
Feb,1,Honda,Urban,Feb,2,Male,Married,58,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,3 to 5,1 vehicle,Collision,No
Jan,2,Mazda,Urban,Jan,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Jan,3,Chevrolet,Urban,Jan,3,Female,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,Collision,No
Jan,2,Pontiac,Urban,Jan,2,Female,Single,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Jan,2,Chevrolet,Urban,Jan,2,Male,Single,58,Third Party,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,1,more than 7,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Jul,4,Ford,Urban,Aug,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Jul,2,Mazda,Urban,Jul,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,Collision,No
Jul,4,Honda,Urban,Jul,4,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Jul,2,Honda,Urban,Feb,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,3 to 5,1 vehicle,Collision,No
Jul,1,Toyota,Urban,Jul,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,Liability,No
Jun,5,Toyota,Urban,Jul,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,51 to 65,No,none,1 vehicle,Liability,No
Jun,3,Pontiac,Urban,Jun,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Jun,3,Chevrolet,Urban,Jul,1,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Jun,4,Chevrolet,Urban,Jul,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,51 to 65,No,none,1 vehicle,Liability,No
Jun,2,Chevrolet,Urban,Jun,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Mar,3,Honda,Urban,Mar,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Mar,3,Ford,Urban,Apr,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Mar,4,Mazda,Urban,Mar,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,51 to 65,No,none,1 vehicle,Collision,Yes
May,1,Toyota,Urban,May,1,Male,Married,58,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,3 to 5,1 vehicle,Liability,No
May,1,Pontiac,Urban,May,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,51 to 65,No,none,1 vehicle,Collision,No
May,3,Honda,Urban,May,3,Male,Married,58,Policy Holder,Sport - Collision,Sport,"more than 69,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,Collision,No
May,4,Pontiac,Urban,May,4,Male,Single,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Nov,1,Toyota,Urban,Mar,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Nov,3,BMW,Rural,Nov,4,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Oct,3,Toyota,Urban,Oct,3,Male,Married,58,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Oct,3,Ford,Rural,Oct,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
Oct,2,Pontiac,Urban,Oct,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,Yes
Oct,1,Accura,Urban,Apr,4,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,Yes
Sep,3,Pontiac,Rural,Sep,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Sep,4,Mazda,Urban,Sep,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
Apr,1,Toyota,Urban,Apr,3,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Apr,4,Toyota,Urban,May,1,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Aug,5,Mazda,Urban,Aug,5,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Aug,3,Mercury,Urban,Aug,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,No
Aug,4,Honda,Urban,Aug,4,Male,Single,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,51 to 65,No,none,1 vehicle,Collision,Yes
Dec,4,Mazda,Urban,Dec,5,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Dec,4,Pontiac,Urban,Dec,4,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Dec,2,Pontiac,Urban,Dec,2,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,51 to 65,No,none,1 vehicle,Liability,No
Feb,3,Toyota,Urban,Feb,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,3 to 5,1 vehicle,Liability,No
Feb,4,Pontiac,Urban,Mar,2,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,3 to 4,All Perils,Yes
Feb,2,Pontiac,Rural,Feb,3,Male,Married,58,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,Collision,No
Feb,2,Mazda,Urban,Feb,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Feb,1,Mazda,Urban,Feb,2,Male,Married,58,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Jan,4,Toyota,Rural,Feb,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Jan,5,Chevrolet,Urban,Feb,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Jan,2,Toyota,Urban,Jan,2,Male,Married,58,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,3 to 5,1 vehicle,Liability,No
Jan,1,Pontiac,Urban,Dec,5,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Jan,3,Honda,Urban,Mar,3,Male,Single,58,Policy Holder,Sport - Collision,Sport,"more than 69,000",more than 30,more than 30,none,7 years,51 to 65,No,3 to 5,1 vehicle,Collision,No
Jul,1,Pontiac,Urban,Sep,4,Female,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,1 to 2,1 vehicle,Liability,No
Jul,3,Saturn,Urban,Aug,1,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"40,000 to 59,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Jul,2,Pontiac,Urban,Jul,5,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,51 to 65,No,1 to 2,1 vehicle,Liability,No
Jul,2,Toyota,Urban,Jul,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,51 to 65,No,1 to 2,1 vehicle,Collision,No
Jul,1,Pontiac,Urban,Jul,1,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
Jul,4,Accura,Urban,Jul,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,51 to 65,No,1 to 2,1 vehicle,Collision,No
Jul,4,VW,Urban,Jul,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,Liability,No
Jun,3,Mazda,Urban,Jun,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Mar,4,Toyota,Urban,Mar,4,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,Collision,No
Mar,3,Toyota,Urban,Mar,4,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Mar,3,Nisson,Urban,Mar,3,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,3 to 5,1 vehicle,All Perils,No
Mar,5,Toyota,Rural,Mar,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Mar,2,Toyota,Urban,Mar,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Mar,5,Toyota,Urban,Apr,1,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,51 to 65,No,more than 5,1 vehicle,All Perils,Yes
Mar,4,Honda,Urban,Apr,1,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Mar,5,Pontiac,Urban,Apr,2,Male,Married,58,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Collision,No
May,1,Toyota,Urban,May,2,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,1,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
May,2,Toyota,Urban,May,5,Male,Married,58,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Collision,No
May,4,Chevrolet,Urban,May,4,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,"more than 69,000",more than 30,more than 30,1,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Nov,3,Toyota,Urban,Nov,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,1 vehicle,Liability,No
Oct,3,Honda,Urban,Oct,4,Male,Married,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,more than 5,1 vehicle,Liability,No
Oct,4,Chevrolet,Rural,Nov,3,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,51 to 65,No,none,1 vehicle,All Perils,No
Oct,2,Toyota,Urban,Dec,3,Male,Single,58,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,1,more than 7,51 to 65,No,1 to 2,1 vehicle,All Perils,No
Sep,3,Pontiac,Urban,Sep,5,Male,Married,58,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,3 to 4,All Perils,No
Sep,1,Pontiac,Urban,Oct,2,Female,Single,58,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,none,1 vehicle,Liability,No
Sep,4,Pontiac,Urban,Sep,4,Male,Single,58,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,1 to 2,3 to 4,Collision,No
Nov,4,Mazda,Urban,Nov,5,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,51 to 65,No,1 to 2,1 vehicle,Collision,No
Nov,1,Toyota,Urban,Nov,4,Male,Married,59,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,none,2 vehicles,Liability,No
Apr,4,Pontiac,Urban,Apr,4,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,51 to 65,No,1 to 2,2 vehicles,All Perils,No
Dec,2,Ford,Urban,Dec,2,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,51 to 65,No,none,2 vehicles,All Perils,No
